target_transcript_id,partner_transcript_id,or_threshold_target,or_threshold_partner,and_threshold
ENST00000316448.9,ENST00000371079.5,9.7188,0.537,0.28804376977954194
ENST00000316448.9,ENST00000254351.8,9.7188,8.1131,0.8439716312056739
ENST00000292301.4,ENST00000085219.9,-2.3884,4.6189,0.697381930184805
ENST00000292301.4,ENST00000263735.8,-2.3884,7.1896,0.9546420225196516
ENST00000292301.4,ENST00000261170.4,-2.3884,-2.9324,54.51750547045952
ENST00000292301.4,ENST00000283249.6,-2.3884,5.2799,0.9394338380513494
ENST00000292301.4,ENST00000334409.9,-2.3884,2.8055,0.762965380326888
ENST00000292301.4,ENST00000317338.16,-2.3884,4.0575,0.8488848905811959
ENST00000292301.4,ENST00000357585.3,-2.3884,4.5442,0.7982503908514412
ENST00000292303.4,ENST00000085219.9,2.6161,4.6189,0.40232817973185164
ENST00000292303.4,ENST00000263735.8,2.6161,7.1896,0.6374769246769455
ENST00000292303.4,ENST00000261170.4,2.6161,-2.9324,0.6801955227373183
ENST00000292303.4,ENST00000283249.6,2.6161,5.2799,0.5803426863334696
ENST00000292303.4,ENST00000334409.9,2.6161,2.8055,0.4859808000870251
ENST00000292303.4,ENST00000317338.16,2.6161,4.0575,-0.21681703543849615
ENST00000292303.4,ENST00000357585.3,2.6161,4.5442,0.22302246737049203
ENST00000246657.2,ENST00000085219.9,3.3032,4.6189,0.36778294480009666
ENST00000246657.2,ENST00000263735.8,3.3032,7.1896,0.807905778627576
ENST00000246657.2,ENST00000261170.4,3.3032,-2.9324,0.8427820584783385
ENST00000246657.2,ENST00000283249.6,3.3032,5.2799,0.5006316388804868
ENST00000246657.2,ENST00000334409.9,3.3032,2.8055,0.48369639117783036
ENST00000246657.2,ENST00000317338.16,3.3032,4.0575,-0.3013471449711691
ENST00000246657.2,ENST00000357585.3,3.3032,4.5442,0.22302246737049203
ENST00000326306.4,ENST00000085219.9,-2.0529,4.6189,-4.6163705869125256
ENST00000326306.4,ENST00000263735.8,-2.0529,7.1896,-4.6163705869125256
ENST00000326306.4,ENST00000261170.4,-2.0529,-2.9324,-4.6163705869125256
ENST00000326306.4,ENST00000283249.6,-2.0529,5.2799,-4.6163705869125256
ENST00000326306.4,ENST00000334409.9,-2.0529,2.8055,-4.6163705869125256
ENST00000326306.4,ENST00000317338.16,-2.0529,4.0575,-4.6163705869125256
ENST00000326306.4,ENST00000357585.3,-2.0529,4.5442,-4.6163705869125256
ENST00000355983.3,ENST00000226279.7,-2.2447,3.1327,0.8060258323470384
ENST00000355983.3,ENST00000296129.5,-2.2447,2.8542,0.8152760718672342
ENST00000355983.3,ENST00000027335.7,-2.2447,-2.1779,-0.2706440829615638
ENST00000355983.3,ENST00000328796.4,-2.2447,-0.5973,-0.7243512005821005
ENST00000355983.3,ENST00000072516.7,-2.2447,3.5362,0.79769907511843
ENST00000355983.3,ENST00000345732.8,-2.2447,-1.8836,5.142577016357913
ENST00000355983.3,ENST00000397910.8,-2.2447,-0.8084,-0.588569348380051
ENST00000355983.3,ENST00000368012.3,-2.2447,2.9262,0.6332121526876137
ENST00000355983.3,ENST00000257770.7,-2.2447,3.7582,0.8490612927275601
ENST00000355983.3,ENST00000371079.5,-2.2447,0.537,0.28804376977954194
ENST00000355983.3,ENST00000254351.8,-2.2447,8.1131,0.91323630387555
ENST00000357392.4,ENST00000085219.9,1.5013,4.6189,0.29751607533374674
ENST00000357392.4,ENST00000263735.8,1.5013,7.1896,0.47654796487906775
ENST00000357392.4,ENST00000261170.4,1.5013,-2.9324,0.49002839703626333
ENST00000357392.4,ENST00000283249.6,1.5013,5.2799,0.3088803088803089
ENST00000357392.4,ENST00000334409.9,1.5013,2.8055,0.21568691451512878
ENST00000357392.4,ENST00000317338.16,1.5013,4.0575,-0.4669190847667853
ENST00000357392.4,ENST00000357585.3,1.5013,4.5442,-0.12486166493930823
ENST00000359156.8,ENST00000085219.9,5.7214,4.6189,0.3914120062809518
ENST00000359156.8,ENST00000263735.8,5.7214,7.1896,0.7272015083917569
ENST00000359156.8,ENST00000261170.4,5.7214,-2.9324,0.7687057464160476
ENST00000359156.8,ENST00000283249.6,5.7214,5.2799,0.6870977710301093
ENST00000359156.8,ENST00000334409.9,5.7214,2.8055,0.48369639117783036
ENST00000359156.8,ENST00000317338.16,5.7214,4.0575,-0.07849700824302272
ENST00000359156.8,ENST00000357585.3,5.7214,4.5442,0.2672896867918562
ENST00000369477.1,ENST00000085219.9,0.03,4.6189,-0.04127641549395209
ENST00000369477.1,ENST00000263735.8,0.03,7.1896,0.014119640419823977
ENST00000369477.1,ENST00000261170.4,0.03,-2.9324,0.014119640419823977
ENST00000369477.1,ENST00000283249.6,0.03,5.2799,-0.07836400433002308
ENST00000369477.1,ENST00000334409.9,0.03,2.8055,-0.07836400433002308
ENST00000369477.1,ENST00000317338.16,0.03,4.0575,-1.24012801807314
ENST00000369477.1,ENST00000357585.3,0.03,4.5442,-0.2445412545892107
